diagnosisKey,diagnosisRef,diagnosisCategory,diagnosisLabel,diagnosisDomain,
14,0,Cardiovascular condition,No Diagnosis,Adult,
15,0,General,No Diagnosis,Adult,
16,0,Hematologic condition,No Diagnosis,Adult,
17,0,Endocrine / Metabolic condition,No Diagnosis,Adult,
18,0,Neurologic condition,No Diagnosis,Adult,
19,0,"Eye, Ear, Nose and Throat Condition",No Diagnosis,Adult,
20,0,Respiratory and Allergic Condition,No Diagnosis,Adult,
21,0,Gastrointestinal condition,No Diagnosis,Adult,
22,0,Kidney and Urinary System Condition,No Diagnosis,Adult,
23,0,Musculoskeletal and/or Rheumatologic Condition,No Diagnosis,Adult,
24,0,Psychosocial or Mental Health Issue,No Diagnosis,Adult,
25,0,Skin Condition,No Diagnosis,Adult,
26,0,Travel Medicine,No Diagnosis,Adult,
27,0,Womens Health,No Diagnosis,Adult,
28,1,General,Periodic health assessment (PHA) or Periodic health exam (PHE),Adult,
29,5.2,General,Smoking Assessment / Advice / Cessation,Adult,
30,3.4,General,Assessment of Code status and/or end of life discussions (in emergency settings),Adult,
31,2.3,General,Fatigue and/or Weakness (no diagnosis),Adult,
32,3.1,General,Loss of consciousness,Adult,
33,2.4,General,Dizziness and/or Vertigo,Adult,
34,2.6,General,Weight loss (unexplained),Adult,
35,11.2,General,Fever of unknown origin (FUO),Adult,
36,3.6,General,Dehydration,Adult,
37,3.5,General,Acute anaphylaxis and/or Acute allergic reaction,Adult,
38,3.11,General,Poisoning and/or Toxin exposure,Adult,
39,19.7,General,Adverse drug reactions ,Adult,
40,19.14,General,Medication allergy,Adult,
41,19.15,General,Medication interaction (e.g. Warfarin interaction),Adult,
42,4.5,General,Cancer new diagnosis (i.e. Breaking bad news),Adult,
43,4.1,General,Cancer prevention/screening and/or risk assessment,Adult,
44,4.11,General,Cancer patient - Immunization,Adult,
45,4.12,General,Cancer psychosocial effect,Adult,
46,4.12,General,"Cancer/Malignancy emergency (e.g. febrile neutropenia, acute spinal cord compression, superior vena cava syndrome, fracture, hypercalcemia, bowel obstruction, bleeding)",Adult,
47,4.7,General,"Cancer/Malignancy complications: (e.g. paraneoplastic syndrome, pleural effusion, ascites, pathological fracture, deep vein thrombosis, infection, metabolic abnormalities)",Adult,
48,4.8,General,Cancer pain management,Adult,
49,4.9,General,Cancer treatment adverse effect - diagnosis and/or management,Adult,
50,4.6,General,Post-cancer surveillance,Adult,
51,10.1,Hematologic condition,Anemia (undiagnosed and/or unspecified),Adult,
52,10.2,Hematologic condition,Hemoglobinopathy,Adult,
53,10.3,Hematologic condition,"Hematologic Malignancies (e.g. Leukemia, Lymphoma, Multiple myeloma)",Adult,
54,10.5,Hematologic condition,"Venous thromboembolism (i.e. Deep vein thrombosis (DVT), Pulmonary embolism (PE)) prevention and/or management",Adult,
55,10.7,Hematologic condition,"Bleeding disorders (e.g. thrombocytopenias (incl. Idiopathic thrombocytopenic purpura), Hemophilia, von Willebrand`s disease)",Adult,
56,10.7,Hematologic condition,"Other Coagulopathy and thrombophilia (e.g. Acquired / Congenital platelet defects, Antithrombin III deficiency,  Protein C / S deficiency, Coagulation factor deficiency)",Adult,
57,10.8,Hematologic condition,Vasculitis (unspecified),Adult,
58,10.1.2,Hematologic condition,"Anemia - Microcytic (e.g. Iron deficiency, Thalassemia)",Adult,
59,10.1.3,Hematologic condition,"Anemia - Macrocytic (e.g. Vitamin B12 deficiency, Pernicious anemia, Hepatic dysfunction)",Adult,
60,8.1,Endocrine / Metabolic condition,Diabetes (type 1 or type 2) and/or Pre-diabetes,Adult,
61,8.2,Endocrine / Metabolic condition,Hypothyroidism,Adult,
62,8.2,Endocrine / Metabolic condition,Hyperthyroidism / Graves disease / thyroid nodule / thyrotoxicosis,Adult,
63,8.3,Endocrine / Metabolic condition,Osteoporosis and/or osteopenia,Adult,
64,8.4,Endocrine / Metabolic condition,Obesity,Adult,
65,8.4,Endocrine / Metabolic condition,"Other metabolic condition (e.g. adrenal insufficiency, pituitary disease)",Adult,
66,11.5,Neurologic condition,"Neurologic infection (e.g. Meningitis, Encephalitis)",Adult,
